file,language,index,word,start,end,duration_s
audio_2026-05-30_19-01-35.wav,en,1,do,0.273,0.353,0.07999999999999996
audio_2026-05-30_19-01-35.wav,en,2,you,0.373,0.473,0.09999999999999998
audio_2026-05-30_19-01-35.wav,en,3,want,0.513,0.693,0.17999999999999994
audio_2026-05-30_19-01-35.wav,en,4,tea,0.793,1.034,0.241
audio_2026-05-30_19-01-35.wav,en,5,or,1.114,1.234,0.11999999999999988
audio_2026-05-30_19-01-35.wav,en,6,coffee,1.274,1.734,0.45999999999999996
audio_2026-05-30_19-01-35.wav,en,7,do,3.576,3.656,0.08000000000000007
audio_2026-05-30_19-01-35.wav,en,8,you,3.696,3.776,0.07999999999999963
audio_2026-05-30_19-01-35.wav,en,9,want,3.816,3.976,0.16000000000000014
audio_2026-05-30_19-01-35.wav,en,10,tea,4.016,4.156,0.13999999999999968
audio_2026-05-30_19-01-35.wav,en,11,or,4.196,4.316,0.1200000000000001
audio_2026-05-30_19-01-35.wav,en,12,coffee,4.356,4.776,0.41999999999999993
audio_2026-05-30_19-01-35.wav,en,13,did,6.858,6.958,0.10000000000000053
audio_2026-05-30_19-01-35.wav,en,14,you,6.978,7.058,0.08000000000000007
audio_2026-05-30_19-01-35.wav,en,15,meet,7.098,7.579,0.48099999999999987
audio_2026-05-30_19-01-35.wav,en,16,mary,7.779,8.639,0.8599999999999994
audio_2026-05-30_19-01-35.wav,en,17,or,8.659,8.7,0.04099999999999859
audio_2026-05-30_19-01-35.wav,en,18,martha,11.442,11.722,0.27999999999999936
audio_2026-05-30_19-01-35.wav,en,19,yesterday,11.762,12.262,0.5
audio_2026-05-30_19-01-35.wav,en,20,who,15.124,15.265,0.14100000000000001
audio_2026-05-30_19-01-35.wav,en,21,flew,15.305,15.505,0.20000000000000107
audio_2026-05-30_19-01-35.wav,en,22,to,15.545,15.605,0.0600000000000005
audio_2026-05-30_19-01-35.wav,en,23,milan,15.645,15.965,0.3200000000000003
audio_2026-05-30_19-01-35.wav,en,24,yesterday,15.985,16.506,0.5210000000000008
audio_2026-05-30_19-01-35.wav,en,25,mary,18.827,19.228,0.4009999999999998
audio_2026-05-30_19-01-35.wav,en,26,flew,19.288,19.508,0.21999999999999886
audio_2026-05-30_19-01-35.wav,en,27,to,19.528,19.608,0.08000000000000185
audio_2026-05-30_19-01-35.wav,en,28,milan,19.648,19.948,0.3000000000000007
audio_2026-05-30_19-01-35.wav,en,29,yesterday,19.968,20.509,0.5410000000000004
audio_2026-05-30_19-01-35.wav,en,30,where,22.41,22.57,0.16000000000000014
audio_2026-05-30_19-01-35.wav,en,31,did,22.59,22.71,0.120000000000001
audio_2026-05-30_19-01-35.wav,en,32,mary,22.75,22.99,0.23999999999999844
audio_2026-05-30_19-01-35.wav,en,33,fly,23.051,23.271,0.22000000000000242
audio_2026-05-30_19-01-35.wav,en,34,yesterday,23.311,23.771,0.46000000000000085
audio_2026-05-30_19-01-35.wav,en,35,mary,25.873,26.113,0.23999999999999844
audio_2026-05-30_19-01-35.wav,en,36,flew,26.153,26.333,0.17999999999999972
audio_2026-05-30_19-01-35.wav,en,37,to,26.373,26.433,0.05999999999999872
audio_2026-05-30_19-01-35.wav,en,38,milan,26.473,26.893,0.4200000000000017
audio_2026-05-30_19-01-35.wav,en,39,yesterday,26.914,27.414,0.5
audio_2026-05-30_19-01-35.wav,en,40,when,30.601,30.781,0.17999999999999972
audio_2026-05-30_19-01-35.wav,en,41,did,30.801,30.921,0.120000000000001
audio_2026-05-30_19-01-35.wav,en,42,mary,30.941,31.181,0.240000000000002
audio_2026-05-30_19-01-35.wav,en,43,fly,31.221,31.441,0.21999999999999886
audio_2026-05-30_19-01-35.wav,en,44,to,31.461,31.522,0.06099999999999994
audio_2026-05-30_19-01-35.wav,en,45,milan,31.562,31.982,0.41999999999999815
audio_2026-05-30_19-01-35.wav,en,46,mary,34.743,34.963,0.21999999999999886
audio_2026-05-30_19-01-35.wav,en,47,flew,35.003,35.163,0.1599999999999966
audio_2026-05-30_19-01-35.wav,en,48,to,35.203,35.243,0.03999999999999915
audio_2026-05-30_19-01-35.wav,en,49,milan,35.283,35.604,0.32099999999999795
audio_2026-05-30_19-01-35.wav,en,50,yesterday,35.624,36.224,0.5999999999999943
audio_2026-05-30_19-01-35.wav,en,51,how,39.326,39.446,0.11999999999999744
audio_2026-05-30_19-01-35.wav,en,52,did,39.486,39.606,0.12000000000000455
audio_2026-05-30_19-01-35.wav,en,53,mary,39.646,39.846,0.19999999999999574
audio_2026-05-30_19-01-35.wav,en,54,go,39.886,39.986,0.09999999999999432
audio_2026-05-30_19-01-35.wav,en,55,to,40.026,40.086,0.05999999999999517
audio_2026-05-30_19-01-35.wav,en,56,milan,40.106,40.426,0.3200000000000003
audio_2026-05-30_19-01-35.wav,en,57,yesterday,40.446,40.906,0.46000000000000085
audio_2026-05-30_19-01-35.wav,en,58,mary,42.587,42.827,0.23999999999999488
audio_2026-05-30_19-01-35.wav,en,59,flew,42.907,43.148,0.24100000000000676
audio_2026-05-30_19-01-35.wav,en,60,to,43.188,43.288,0.09999999999999432
audio_2026-05-30_19-01-35.wav,en,61,milan,43.328,43.628,0.29999999999999716
audio_2026-05-30_19-01-35.wav,en,62,yesterday,43.668,44.168,0.5
audio_2026-05-30_19-01-35.wav,en,63,mary,46.369,46.649,0.28000000000000114
audio_2026-05-30_19-01-35.wav,en,64,has,46.669,46.809,0.14000000000000057
audio_2026-05-30_19-01-35.wav,en,65,arrived,46.87,47.21,0.3400000000000034
audio_2026-05-30_19-01-35.wav,en,66,already,47.27,47.63,0.35999999999999943
audio_2026-05-30_19-01-35.wav,en,67,mary,49.971,50.211,0.240000000000002
audio_2026-05-30_19-01-35.wav,en,68,has,50.231,50.371,0.14000000000000057
audio_2026-05-30_19-01-35.wav,en,69,arrived,50.451,50.792,0.3410000000000011
audio_2026-05-30_19-01-35.wav,en,70,already,50.812,51.172,0.35999999999999943
audio_2026-05-30_19-01-35.wav,en,71,mary,51.992,52.252,0.2600000000000051
audio_2026-05-30_19-01-35.wav,en,72,has,52.292,52.432,0.14000000000000057
audio_2026-05-30_19-01-35.wav,en,73,arrived,52.472,52.773,0.30100000000000193
audio_2026-05-30_19-01-35.wav,en,74,already,52.933,53.393,0.46000000000000085
audio_2026-05-30_19-01-35.wav,en,75,i,53.413,53.433,0.020000000000003126
audio_2026-05-30_19-01-35.wav,en,76,need,55.854,56.014,0.1600000000000037
audio_2026-05-30_19-01-35.wav,en,77,to,56.034,56.154,0.12000000000000455
audio_2026-05-30_19-01-35.wav,en,78,permit,56.234,56.675,0.4409999999999954
audio_2026-05-30_19-01-35.wav,en,79,this,56.775,57.035,0.259999999999998
audio_2026-05-30_19-01-35.wav,en,80,i,58.867,58.907,0.03999999999999915
audio_2026-05-30_19-01-35.wav,en,81,need,58.947,59.127,0.17999999999999972
audio_2026-05-30_19-01-35.wav,en,82,a,59.167,59.187,0.01999999999999602
